trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount,price
320,Used,f,129948,1995,Gold,3.2,Gasoline,Mid,Premium,Alloy,unsp,26,6595
320,Used,f,140428,1997,White,3.2,Gasoline,Mid,Bose,Alloy,unsp,22,7993
420,Used,f,113622,1999,Silver,4.2,Gasoline,Mid,unsp,Alloy,unsp,24,5995
420,Used,f,167673,1999,Silver,4.2,Gasoline,SoA,unsp,Alloy,unsp,24,3000
500,Used,f,63457,1997,Silver,5,Gasoline,Mtn,Alpine,Alloy,20,23,14975
430,Used,f,82419,2002,White,4.3,Gasoline,Mid,Bose,Alloy,16,35,7400
430,Used,f,101264,2000,White,4.3,Gasoline,SoA,unsp,unsp,unsp,6,10850
430,Used,f,110651,2001,Black,4.3,Gasoline,SoA,unsp,Alloy,unsp,15,8990
430,Used,f,108173,2000,Silver,4.3,Gasoline,ESC,Bose,unsp,unsp,40,7950
430,Used,f,187977,2002,Gray,4.3,Gasoline,SoA,Premium,unsp,unsp,37,6998
430,Used,f,106093,2002,Silver,4.3,Gasoline,ENC,Bose,unsp,unsp,45,11997
430,Used,f,129167,2003,Gold,4.3,Gasoline,WSC,Bose,unsp,unsp,20,11459
430,Used,f,172807,2002,Gray,4.3,Gasoline,ENC,Premium,Alloy,unsp,58,4995
430,Used,f,76577,2004,Gray,4.3,Gasoline,Mid,unsp,Alloy,unsp,55,10999
430,Used,f,84097,2003,Silver,4.3,Gasoline,ENC,unsp,Alloy,unsp,73,9994
430,Used,f,143997,2004,Gray,4.3,Gasoline,Mtn,unsp,Alloy,unsp,53,9339
430,Used,f,125438,2004,Silver,4.3,Gasoline,WSC,unsp,unsp,unsp,27,8800
430,Used,f,83507,2006,Blue,4.3,Gasoline,Mtn,Premium,unsp,unsp,32,16950
430,Used,f,121640,2001,Blue,4.3,Gasoline,Mtn,unsp,Alloy,unsp,24,8995
430,Used,f,75677,2006,Black,4.3,Gasoline,SoA,unsp,unsp,18,49,23000
430,Used,f,126162,2000,White,4.3,Gasoline,Pac,Bose,Alloy,16,45,6950
55,Used,f,120087,2001,Silver,5.4,Gasoline,New,Premium,Alloy,unsp,56,9988
55,Used,t,74002,2003,Gold,5.4,Gasoline,WSC,unsp,Alloy,unsp,49,16995
55,Used,f,71048,2006,Black,5.4,Gasoline,Mid,unsp,unsp,unsp,13,21695
500,Used,f,131649,2002,Black,5,Gasoline,Mid,unsp,unsp,unsp,7,4995
500,Used,f,79858,2003,Black,5,Gasoline,Pac,unsp,Alloy,unsp,49,12999
500,Used,f,107104,2003,Blue,5,Gasoline,ENC,unsp,Alloy,unsp,56,8996
500,Used,f,98041,2001,Black,5,Gasoline,SoA,unsp,Alloy,unsp,36,7000
500,Used,f,133331,2002,Beige,5,Gasoline,SoA,unsp,Alloy,unsp,45,10988
500,Used,f,103411,2003,Black,5,Gasoline,Mid,Premium,Alloy,unsp,55,8998
500,Used,f,147045,2004,Black,5,Gasoline,SoA,unsp,unsp,unsp,0,8780
500,Used,f,67955,2006,Black,5,Gasoline,ESC,Bose,Alloy,unsp,66,17481
500,Used,f,101000,2006,Silver,5,Gasoline,ESC,unsp,unsp,unsp,0,19999
500,Used,f,70330,2003,Black,5,Gasoline,WNC,unsp,Alloy,unsp,50,11495
500,Used,f,66174,2000,Silver,5,Gasoline,Mid,Bose,Alloy,unsp,39,8995
500,Used,f,141499,2002,Beige,5,Gasoline,ENC,unsp,Alloy,unsp,43,5995
500,Used,f,111971,2004,Black,5,Gasoline,WSC,unsp,Alloy,unsp,52,12888
500,Used,f,99273,2000,Silver,5,Gasoline,ENC,unsp,Alloy,unsp,40,7800
500,Used,f,149960,2003,Black,5,Gasoline,Mid,Bose,unsp,unsp,45,5995
500,Used,f,113020,2001,Gray,5,Gasoline,Pac,Bose,Premium,unsp,46,9995
500,Used,f,75720,2002,Black,5,Gasoline,SoA,unsp,unsp,unsp,42,11991
