trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount
550,New,f,13,2015,Silver,4.6,Gasoline,Mid,unsp,unsp,19,4
550,Used,f,58831,2008,Black,5.5,Gasoline,ENC,Premium,Alloy,unsp,67
550,Used,t,30191,2010,White,5.5,Gasoline,Mtn,unsp,Alloy,unsp,54
550,New,f,10,2014,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,61
550,Used,t,35640,2012,Black,4.6,Gasoline,WSC,Harman Kardon,Alloy,unsp,73
550,New,f,12,2015,Red,4.6,Gasoline,WNC,Premium,unsp,18,92
550,CPO,f,17839,2012,Black,4.6,Gasoline,Pac,Premium,Alloy,unsp,70
550,Used,f,85754,2007,Silver,5.5,Gasoline,ESC,Premium,Alloy,unsp,38
550,New,f,5,2015,Silver,4.6,Gasoline,Mid,Premium,Alloy,unsp,68
550,New,f,11,2015,Black,4.6,Gasoline,SoA,unsp,unsp,unsp,1
550,Used,f,42590,2009,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,75
550,New,f,3,2014,unsp,4.6,Gasoline,Pac,unsp,unsp,unsp,57
550,Used,f,68980,2009,Gold,5.5,Gasoline,Mid,unsp,unsp,unsp,60
500,Used,f,87123,2000,Gold,5,Gasoline,Mtn,Premium,Premium,unsp,43
550,New,f,17,2015,Black,4.6,Gasoline,Pac,Premium,Alloy,unsp,75
550,New,f,5,2015,unsp,4.6,Gasoline,SoA,Premium,Alloy,unsp,67
400,Used,f,44374,2010,White,3.5,Hybrid,ENC,Harman Kardon,Alloy,unsp,84
550,New,f,25,2014,Silver,4.6,Gasoline,WSC,unsp,unsp,unsp,1
400,Used,t,37161,2010,Gray,3.5,Hybrid,SoA,Premium,Alloy,18,71
550,CPO,t,11425,2012,Gray,4.6,Gasoline,ENC,Harman Kardon,Alloy,unsp,70
550,Used,f,39491,2011,Black,5.5,Gasoline,Mid,Harman Kardon,unsp,unsp,22
63,New,f,5,2014,Black,5.5,Gasoline,SoA,Premium,unsp,unsp,67
550,New,f,1,2014,Black,4.6,Gasoline,Mid,unsp,unsp,unsp,3
550,Used,f,83939,2007,Black,5.5,Gasoline,SoA,Harman Kardon,unsp,unsp,34
550,New,f,276,2014,Black,4.6,Gasoline,Mid,Premium,Alloy,19,77
550,Used,f,72306,2011,Black,5.5,Gasoline,Mid,unsp,unsp,unsp,5
550,Used,f,100821,2007,White,5.5,Gasoline,Pac,unsp,Alloy,unsp,12
500,Used,f,126568,2001,Black,5,Gasoline,Pac,unsp,unsp,unsp,31
63,New,f,15,2015,Black,5.5,Gasoline,Pac,Premium,Alloy,unsp,67
550,Used,f,37625,2010,Black,5.5,Gasoline,Pac,unsp,unsp,unsp,1
550,Used,f,57345,2007,Black,5.5,Gasoline,WSC,unsp,Alloy,unsp,45
550,New,f,9,2014,Silver,4.6,Gasoline,ENC,unsp,unsp,unsp,0
430,Used,f,170400,2002,Black,4.3,Gasoline,SoA,unsp,Alloy,unsp,48
65,New,f,8,2015,Black,6,Gasoline,Pac,unsp,unsp,unsp,4
500,Used,f,114000,2002,Black,5,Gasoline,ESC,unsp,unsp,unsp,0
400,Used,t,60146,2010,Black,3.5,Hybrid,SoA,Premium,Alloy,unsp,63
550,Used,f,16718,2012,unsp,4.6,Gasoline,WNC,Premium,Alloy,unsp,67
550,Used,f,21508,2011,unsp,5.5,Gasoline,SoA,Premium,Alloy,unsp,64
550,New,f,15,2015,Silver,4.6,Gasoline,ENC,Premium,Alloy,unsp,72
550,Used,f,8394,2014,Silver,4.6,Gasoline,SoA,unsp,unsp,unsp,3
550,Used,f,74561,2007,Silver,5.5,Gasoline,SoA,Premium,Alloy,unsp,18
550,New,f,15,2014,Black,4.6,Gasoline,Mid,Premium,Alloy,unsp,66
550,New,f,249,2014,unsp,4.6,Gasoline,WNC,unsp,Alloy,18,52
550,New,f,12,2015,unsp,4.6,Gasoline,Pac,unsp,unsp,19,13
550,CPO,f,28543,2012,Black,4.6,Gasoline,ENC,unsp,unsp,unsp,51
550,New,f,12,2015,Black,4.6,Gasoline,WSC,unsp,unsp,unsp,2
550,Used,f,45463,2011,Black,5.5,Gasoline,Mid,unsp,Alloy,unsp,49
550,New,f,26,2014,Black,4.6,Gasoline,Mtn,unsp,unsp,unsp,15
350,New,f,2246,2013,Black,3,Diesel,Mid,unsp,unsp,unsp,56
550,Used,f,73028,2008,Black,5.5,Gasoline,New,unsp,Alloy,unsp,73
550,Used,f,51890,2008,Black,5.5,Gasoline,Mid,unsp,Alloy,unsp,64
550,CPO,t,3055,2013,White,4.6,Gasoline,Mid,Premium,Alloy,unsp,69
550,New,f,12,2015,Blue,4.6,Gasoline,Mid,Premium,Alloy,18,72
430,Used,f,67530,2005,Gray,4.3,Gasoline,Pac,unsp,unsp,unsp,6
500,Used,f,126198,2001,Blue,5,Gasoline,SoA,unsp,Alloy,unsp,73
550,New,f,8,2014,Black,4.6,Gasoline,New,unsp,unsp,unsp,54
550,Used,t,9628,2013,White,4.6,Gasoline,SoA,unsp,unsp,unsp,93
550,New,f,7,2015,Blue,4.6,Gasoline,Pac,unsp,unsp,unsp,2
