trim,condition,isOneOwner,mileage,year,color,dispacement,fuel,region,soundSystem,wheelType,wheelSize,featureCount,logprice
320,Used,f,129948,1995,Gold,3.2,Gasoline,Mid,Premium,Alloy,unsp,26,3.8192148
320,Used,f,140428,1997,White,3.2,Gasoline,Mid,Bose,Alloy,unsp,22,3.902709813
420,Used,f,113622,1999,Silver,4.2,Gasoline,Mid,unsp,Alloy,unsp,24,3.777789187
420,Used,f,167673,1999,Silver,4.2,Gasoline,SoA,unsp,Alloy,unsp,24,3.477121255
500,Used,f,63457,1997,Silver,5,Gasoline,Mtn,Alpine,Alloy,20,23,4.175366831
430,Used,f,82419,2002,White,4.3,Gasoline,Mid,Bose,Alloy,16,35,3.86923172
430,Used,f,101264,2000,White,4.3,Gasoline,SoA,unsp,unsp,unsp,6,4.035429738
430,Used,f,110651,2001,Black,4.3,Gasoline,SoA,unsp,Alloy,unsp,15,3.953759692
430,Used,f,108173,2000,Silver,4.3,Gasoline,ESC,Bose,unsp,unsp,40,3.900367129
430,Used,f,187977,2002,Gray,4.3,Gasoline,SoA,Premium,unsp,unsp,37,3.844973938
430,Used,f,106093,2002,Silver,4.3,Gasoline,ENC,Bose,unsp,unsp,45,4.079072659
430,Used,f,129167,2003,Gold,4.3,Gasoline,WSC,Bose,unsp,unsp,20,4.059146719
430,Used,f,172807,2002,Gray,4.3,Gasoline,ENC,Premium,Alloy,unsp,58,3.698535493
430,Used,f,76577,2004,Gray,4.3,Gasoline,Mid,unsp,Alloy,unsp,55,4.041353202
430,Used,f,84097,2003,Silver,4.3,Gasoline,ENC,unsp,Alloy,unsp,73,3.999739345
430,Used,f,143997,2004,Gray,4.3,Gasoline,Mtn,unsp,Alloy,unsp,53,3.970300375
430,Used,f,125438,2004,Silver,4.3,Gasoline,WSC,unsp,unsp,unsp,27,3.944482672
430,Used,f,83507,2006,Blue,4.3,Gasoline,Mtn,Premium,unsp,unsp,32,4.229169703
430,Used,f,121640,2001,Blue,4.3,Gasoline,Mtn,unsp,Alloy,unsp,24,3.954001168
430,Used,f,75677,2006,Black,4.3,Gasoline,SoA,unsp,unsp,18,49,4.361727836
430,Used,f,126162,2000,White,4.3,Gasoline,Pac,Bose,Alloy,16,45,3.841984805
55,Used,f,120087,2001,Silver,5.4,Gasoline,New,Premium,Alloy,unsp,56,3.999478534
55,Used,t,74002,2003,Gold,5.4,Gasoline,WSC,unsp,Alloy,unsp,49,4.230321169
55,Used,f,71048,2006,Black,5.4,Gasoline,Mid,unsp,unsp,unsp,13,4.336359654
500,Used,f,131649,2002,Black,5,Gasoline,Mid,unsp,unsp,unsp,7,3.698535493
500,Used,f,79858,2003,Black,5,Gasoline,Pac,unsp,Alloy,unsp,49,4.113909944
500,Used,f,107104,2003,Blue,5,Gasoline,ENC,unsp,Alloy,unsp,56,3.954049447
500,Used,f,98041,2001,Black,5,Gasoline,SoA,unsp,Alloy,unsp,36,3.84509804
500,Used,f,133331,2002,Beige,5,Gasoline,SoA,unsp,Alloy,unsp,45,4.040918651
