Year,District,Total,Fraction,,,
2010,1,57055,0.021,,,
2010,2,37768,0.014,,,
2010,3,75235,0.028,,,
2010,4,123575,0.046,,,
2010,5,74396,0.028,,,
2010,6,90841,0.034,,,
2010,7,71071,0.026,,,
2010,8,247373,0.092,,,
2010,9,155681,0.058,,,
2010,10,118093,0.044,,,
2010,11,70474,0.026,,,
2010,12,69220,0.026,,,
2010,13,58649,0.022,,,
2010,14,117738,0.044,,,
2010,15,59458,0.022,,,
2010,16,199482,0.074,,,
2010,17,144096,0.053,,,
2010,18,117041,0.043,,,
2010,19,112622,0.042,,,
2010,20,91279,0.034,,,
2010,21,72917,0.027,,,
2010,22,101941,0.038,,,
2010,23,88164,0.033,,,
2010,24,141038,0.052,,,
2010,25,200391,0.074,,,
2010,Total,"2,695,598",1.000,,,
