attribute,word,,,,,,,,,,,,,
performance,speed,,,,,,,,,,,,,
performance,time,,,,,,,,,,,,,
reliability,years,,,,,,,,,,,,,
reliability,year,,,,,,,,,,,,,
reliability,new,,,,,,,,,,,,,
reliability,history,,,,,,,,,,,,,
reliability,state,,,,,,,,,,,,,
reliability,carfax,,,,,,,,,,,,,
reliability,age,,,,,,,,,,,,,
reliability,condition,,,,,,,,,,,,,
reliability,quality,,,,,,,,,,,,,
price,price,,,,,,,,,,,,,
price,cost,,,,,,,,,,,,,
price,money,,,,,,,,,,,,,
price,value,,,,,,,,,,,,,
price,pricing,,,,,,,,,,,,,
price,dollar,,,,,,,,,,,,,
price,purchase,,,,,,,,,,,,,
price,amount,,,,,,,,,,,,,
price,cash,,,,,,,,,,,,,
price,sale,,,,,,,,,,,,,
price,msrp,,,,,,,,,,,,,
price,payment,,,,,,,,,,,,,
price,cost,,,,,,,,,,,,,
price,afford,,,,,,,,,,,,,
price,tax,,,,,,,,,,,,,
price,pay,,,,,,,,,,,,,
performance,drives,,,,,,,,,,,,,
performance,handles,,,,,,,,,,,,,
performance,ride,,,,,,,,,,,,,
performance,control,,,,,,,,,,,,,
performance,turn,,,,,,,,,,,,,
performance,city,,,,,,,,,,,,,
performance,highway,,,,,,,,,,,,,
performance,road,,,,,,,,,,,,,
performance,wheel,,,,,,,,,,,,,
performance,motor,,,,,,,,,,,,,
performance,turbo,,,,,,,,,,,,,
performance,v8,,,,,,,,,,,,,
performance,cyl,,,,,,,,,,,,,
performance,torque,,,,,,,,,,,,,
performance,engine,,,,,,,,,,,,,
performance,cylinder,,,,,,,,,,,,,
performance,power,,,,,,,,,,,,,
performance,acceleration,,,,,,,,,,,,,
performance,rpm,,,,,,,,,,,,,
performance,v6,,,,,,,,,,,,,
fuel,gas,,,,,,,,,,,,,
fuel,fill,,,,,,,,,,,,,
fuel,miles,,,,,,,,,,,,,
fuel,mile ,,,,,,,,,,,,,
fuel,diesel,,,,,,,,,,,,,
fuel,gallon,,,,,,,,,,,,,
fuel,tank,,,,,,,,,,,,,
fuel,mileage ,,,,,,,,,,,,,
fuel,fuel,,,,,,,,,,,,,
fuel,mpg,,,,,,,,,,,,,
reliability,oil,,,,,,,,,,,,,
reliability,service,,,,,,,,,,,,,
reliability,maintenance,,,,,,,,,,,,,
reliability,mechanic,,,,,,,,,,,,,
reliability,inspection,,,,,,,,,,,,,
reliability,battery,,,,,,,,,,,,,
reliability,care,,,,,,,,,,,,,
reliability,fluid,,,,,,,,,,,,,
reliability,radiator,,,,,,,,,,,,,
reliability,repair,,,,,,,,,,,,,
make,brand,,,,,,,,,,,,,
make,model,,,,,,,,,,,,,
make,color,,,,,,,,,,,,,
make,paint,,,,,,,,,,,,,
make,moonroof,,,,,,,,,,,,,
make,part,,,,,,,,,,,,,
make,series,,,,,,,,,,,,,
make,suv,,,,,,,,,,,,,
make ,body,,,,,,,,,,,,,
make,shape,,,,,,,,,,,,,
make,interior,,,,,,,,,,,,,
make,sunroof,,,,,,,,,,,,,
make,door,,,,,,,,,,,,,
make,leather,,,,,,,,,,,,,
reliability,warranty,,,,,,,,,,,,,
reliability,insurance,,,,,,,,,,,,,
sporty,sporty,,,,,,,,,,,,,
sporty,sport,,,,,,,,,,,,,
sporty,coupe,,,,,,,,,,,,,
familyfriendly,family,,,,,,,,,,,,,
familyfriendly,kid,,,,,,,,,,,,,
familyfriendly,husband,,,,,,,,,,,,,
familyfriendly,child,,,,,,,,,,,,,
familyfriendly,wife,,,,,,,,,,,,,
familyfriendly,daughter,,,,,,,,,,,,,
familyfriendly,baby,,,,,,,,,,,,,
familyfriendly,sister,,,,,,,,,,,,,
familyfriendly,mom,,,,,,,,,,,,,
familyfriendly,dad,,,,,,,,,,,,,
tranmission,stick,,,,,,,,,,,,,
tranmission,gear,,,,,,,,,,,,,
tranmission,clutch,,,,,,,,,,,,,
transmission,shift,,,,,,,,,,,,,
tranmission,manual,,,,,,,,,,,,,
size,size,,,,,,,,,,,,,
size,legroom,,,,,,,,,,,,,
size,mini,,,,,,,,,,,,,
system,system,,,,,,,,,,,,,
system,heater,,,,,,,,,,,,,
system,a/c,,,,,,,,,,,,,
system,audio,,,,,,,,,,,,,
system,ignition,,,,,,,,,,,,,
system,temperature,,,,,,,,,,,,,
system,air,,,,,,,,,,,,,
systetm,sound,,,,,,,,,,,,,
system,stereo,,,,,,,,,,,,,
reliability,reliability,,,,,,,,,,,,,
stylish,style,,,,,,,,,,,,,
stylish,attention,,,,,,,,,,,,,
stylish,cool,,,,,,,,,,,,,
stylish,fun,,,,,,,,,,,,,
make,suspension,,,,,,,,,,,,,
make,tires,,,,,,,,,,,,,
economical,economy,,,,,,,,,,,,,
performance,performance,,,,,,,,,,,,,
reliability,safety,,,,,,,,,,,,,
reliability,accident,,,,,,,,,,,,,
reliability,trust,,,,,,,,,,,,,
